#PARAMETER,TYPE,ALLOWED_RANGES,DEFAULT_VALUE,HDL_PARAMETER,AFFECTS_GENERATION,DISPLAY_NAME,DESCRIPTION
az_clock,String,"none:No" "0:Clock0" "1:Clock1" "2:Clock2",none,FALSE,TRUE,Register input 'az' of the multiplier,Turn on to enable and specify the clock signal for the register input 'az' of the multiplier.,
bx_clock,String,"none:No" "0:Clock0" "1:Clock1" "2:Clock2",none,FALSE,TRUE,Register input 'bx' of the multiplier,Turn on to enable and specify the clock signal for the register input 'bx' of the multiplier.,
by_clock,String,"none:No" "0:Clock0" "1:Clock1" "2:Clock2",none,FALSE,TRUE,Register input 'by' of the multiplier,Turn on to enable and specify the clock signal for the register input 'by' of the multiplier.,
bz_clock,String,"none:No" "0:Clock0" "1:Clock1" "2:Clock2",none,FALSE,TRUE,Register input 'bz' of the multiplier,Turn on to enable and specify the clock signal for the register input 'bz' of the multiplier.,
coef_sel_a_clock,String,"none:No" "0:Clock0" "1:Clock1" "2:Clock2",none,FALSE,TRUE,Register input 'coefsela' of the multiplier,Turn on to enable and specify the clock signal for the register input 'coefsela' of the multiplier.,
coef_sel_b_clock,String,"none:No" "0:Clock0" "1:Clock1" "2:Clock2",none,FALSE,TRUE,Register input 'coefselb' of the multiplier,Turn on to enable and specify the clock signal for the register input 'coefselb' of the multiplier.,
sub_clock,String,"none:No" "0:Clock0" "1:Clock1" "2:Clock2",none,FALSE,TRUE,Register input 'sub' of the multiplier,Turn on to enable and specify the clock signal for the register input 'sub' of the multiplier.,
sub_pipeline_clock,String,"none:No" "0:Clock0" "1:Clock1" "2:Clock2",none,FALSE,TRUE,Add input pipeline register to the 'sub' data signal,Turn on to enable and specify the clock signal for the pipeline register of 'sub' input.,
negate_clock,String,"none:No" "0:Clock0" "1:Clock1" "2:Clock2",none,FALSE,TRUE,Register input 'negate' of the adder unit,Turn on to enable and specify the clock signal for the register input �negate� of the adder.,
negate_pipeline_clock,String,"none:No" "0:Clock0" "1:Clock1" "2:Clock2",none,FALSE,TRUE,Add input pipeline register to the 'negate' data signal,Turn on to enable and specify the clock signal for the pipeline register of 'negate' input.,
accumulate_clock,String,"none:No" "0:Clock0" "1:Clock1" "2:Clock2",none,FALSE,TRUE,Register input 'accumulate' of the accumulator,Turn on to enable and specify the clock signal for the register input 'accumulate' of the accumulator.,
accum_pipeline_clock,String,"none:No" "0:Clock0" "1:Clock1" "2:Clock2",none,FALSE,TRUE,Add input pipeline register to the 'accumulate' data signal,Turn on to enable and specify the clock signal for the pipeline register of 'accumulate' input.,
load_const_clock,String,"none:No" "0:Clock0" "1:Clock1" "2:Clock2",none,FALSE,TRUE,Register input 'loadconst' of the accumulator,Turn on to enable and specify the clock signal for the register input �loadconst� of the accumulator.,
load_const_pipeline_clock,String,"none:No" "0:Clock0" "1:Clock1" "2:Clock2",none,FALSE,TRUE,Add input pipeline register to the 'loadconst' data signal,Turn on to enable and specify the clock signal for the pipeline register of 'loadconst' input.,
input_pipeline_clock,String,"none:No" "0:Clock0" "1:Clock1" "2:Clock2",none,FALSE,TRUE,Add input pipeline register to the input data signal (x/y/z/coefsel),Turn on to enable and specify the clock signal for the pipeline register of x/y/z/coefsel input.,
output_clock,String,"none:No" "0:Clock0" "1:Clock1" "2:Clock2",none,FALSE,TRUE, Use output register,Turn on to enable and specify the clock signal for the register output 'resullt' of the chainout adder unit.,
scan_out_width,Integer,1:27,18,FALSE,TRUE,'scanout' output bus width,Specifies the width of 'scanout' output buses.,
result_a_width,Integer,1:64,37,FALSE,TRUE,'resulta' output bus width,Specifies the width of 'resulta' output buses.,
result_b_width,Integer,0:37,37,FALSE,TRUE,resultb' output bus width,Specifies the width of 'resultb' output buses.,
gui_chainout_enable,String,"false:No" "true:Yes",false,FALSE,TRUE,Enable chainout port,Specifies whether to enable chainout port.,
gui_scanout_enable,String,"false:No" "true:Yes",false,FALSE,TRUE,Enable scanout port,Specifies whether to enable scanout port.,
enable_accumulate,String,"false:No ""true:Yes""",false,FALSE,TRUE,Enable accumulate port,Specifies whether to enable accumulate port.,
enable_sub,String,"false:No ""true:Yes""",false,FALSE,TRUE,Enable 'sub' port,Specifies whether to enable sub port.,
enable_negate,String,"false:No ""true:Yes""",false,FALSE,TRUE,Enable 'negate' port,Specifies whether to enable negate port.,
enable_loadconst,String,"false:No ""true:Yes""",false,FALSE,TRUE,Enable 'loadconst' port,Specifies whether to enable loadconst port.,
