DPRIO Offset(hex) ,DPRIO Bit Offset ,Attribute Name ,Other DPRIO Offset (hex) ,Attribute Encoding ,DPRIO Encoding ,Block
,,,,150 ps,2'b11
,,,,50 ps,2'b01
,[4:2],pll_c_counter_0_coarse_dly,"",0 ps,3'b000,cmu_fpll
,,,,1000 ps,3'b101
,,,,200 ps,3'b001
,,,,400 ps,3'b010
,,,,600 ps,3'b011
,,,,800 ps,3'b100
,[6:5],pll_c_counter_0_in_src,"",m_cnt_in_src_cscd_clk,2'b01,cmu_fpll
,,,,m_cnt_in_src_ph_mux_clk,2'b00
,,,,m_cnt_in_src_test_clk,2'b1x
,7,pll_c_counter_0_min_tco_enable,"",false,1'b1,cmu_fpll
,,,,true,1'b0
10A,[4:0],pll_vco_freq_band_0,"10B",pll_freq_band0,5'b00001,cmu_fpll
,,,,pll_freq_band1,5'b00001
,,,,pll_freq_band2,5'b00001
,,,,pll_freq_band3,5'b00001
,,,,pll_freq_band4,5'b00001
,,,,pll_freq_band5,5'b00001
,,,,pll_freq_band6,5'b00001
,,,,pll_freq_band7,5'b00001
,,,,pll_freq_band8,5'b00001
,5,pll_lpf_rstn_value,"101|123",lpf_normal,1'b1,cmu_fpll
,,,,lpf_reset0,1'b0
,,,,lpf_reset1,1'b0
,,,,lpf_reset2,1'b1
,6,pll_core_cali_vco_off,"",false,1'b0,cmu_fpll
,,,,true,1'b1
,7,pll_core_cali_ref_off,"",false,1'b0,cmu_fpll
,,,,true,1'b1
10B,[2:0],pll_core_vreg1_atbsel,"",atb_disabled1,3'b000,cmu_fpll
,,,,atbsel0_1,3'b001
,,,,atbsel1_1,3'b010
,,,,atbsel2_1,3'b100
,[7:3],pll_vco_freq_band_0,"10A",pll_freq_band0,5'b00101,cmu_fpll
,,,,pll_freq_band1,5'b00110
,,,,pll_freq_band2,5'b00111
,,,,pll_freq_band3,5'b01000
,,,,pll_freq_band4,5'b01001
,,,,pll_freq_band5,5'b01010
,,,,pll_freq_band6,5'b01011
,,,,pll_freq_band7,5'b01100
,,,,pll_freq_band8,5'b01101
10C,[7:0],pll_c_counter_0_prst,"",pll_c_counter_0_prst[7:0],DIRECT MAPPED,cmu_fpll
10D,[7:0],pll_c_counter_3,"",pll_c_counter_3[7:0],DIRECT MAPPED,cmu_fpll
10E,[7:0],pll_c_counter_2,"",pll_c_counter_2[7:0],DIRECT MAPPED,cmu_fpll
10F,[7:0],pll_c_counter_1,"",pll_c_counter_1[7:0],DIRECT MAPPED,cmu_fpll
110,[7:0],pll_c_counter_0,"",pll_c_counter_0[7:0],DIRECT MAPPED,cmu_fpll
111,0,pll_c_counter_3,"",pll_c_counter_3[8],DIRECT MAPPED,cmu_fpll
,1,pll_c_counter_2,"",pll_c_counter_2[8],DIRECT MAPPED,cmu_fpll
,2,pll_c_counter_1,"",pll_c_counter_1[8],DIRECT MAPPED,cmu_fpll
,3,pll_c_counter_0,"",pll_c_counter_0[8],DIRECT MAPPED,cmu_fpll
,4,pll_c0_pllcout_enable,"",false,1'b0,cmu_fpll
,,,,true,1'b1
,5,pll_c1_pllcout_enable,"",false,1'b0,cmu_fpll
,,,,true,1'b1
,6,pll_c2_pllcout_enable,"",false,1'b0,cmu_fpll
,,,,true,1'b1
,7,pll_c3_pllcout_enable,"",false,1'b0,cmu_fpll
,,,,true,1'b1
112,0,pll_clk_loss_sw_en,"",false,1'b0,cmu_fpll_refclk_select
,,,,true,1'b1
,1,pll_auto_clk_sw_en,"",false,1'b0,cmu_fpll_refclk_select
,,,,true,1'b1
,2,pll_manu_clk_sw_en,"",false,1'b0,cmu_fpll_refclk_select
,,,,true,1'b1
,[5:3],pll_clk_sw_dly,"",pll_clk_sw_dly[2:0],DIRECT MAPPED,cmu_fpll_refclk_select
,6,pll_sw_refclk_src,"",pll_sw_refclk_src_clk_0,1'b0,cmu_fpll_refclk_select
,,,,pll_sw_refclk_src_clk_1,1'b1
,7,pll_clk_loss_edge,"",pll_clk_loss_both_edges,1'b0,cmu_fpll_refclk_select
,,,,pll_clk_loss_rising_edge,1'b1
113,[2:0],pll_core_vreg0_atbsel,"",atb_disabled,3'b000,cmu_fpll
,,,,atbsel0,3'b001
,,,,atbsel1,3'b010
,,,,atbsel2,3'b100
,3,pll_l_counter_enable,"",false,1'b0,cmu_fpll
,,,,true,1'b1
,4,pll_m_counter_min_tco_enable,"",false,1'b1,cmu_fpll
,,,,true,1'b0
,5,fpll_cas_out_enable,"",fpll_cas_out_disable,1'b0,cmu_fpll
,,,,fpll_cas_out_enable,1'b1
,6,fpll_iqtxrxclk_out_enable,"",fpll_iqtxrxclk_out_disable,1'b0,cmu_fpll
,,,,fpll_iqtxrxclk_out_enable,1'b1
,7,fpll_hclk_out_enable,"",fpll_hclk_out_disable,1'b0,cmu_fpll
,,,,fpll_hclk_out_enable,1'b1
114,[4:0],xpm_iqref_mux0_iqclk_sel,"",iqtxrxclk0,5'b01100,cmu_fpll_refclk_select
,,,,iqtxrxclk1,5'b01101
,,,,iqtxrxclk2,5'b01110
,,,,iqtxrxclk3,5'b01111
,,,,iqtxrxclk4,5'b10000
,,,,iqtxrxclk5,5'b10001
,,,,power_down,5'b11111
,,,,ref_iqclk0,5'b00000
,,,,ref_iqclk1,5'b00001
,,,,ref_iqclk10,5'b01010
,,,,ref_iqclk11,5'b01011
,,,,ref_iqclk2,5'b00010
,,,,ref_iqclk3,5'b00011
,,,,ref_iqclk4,5'b00100
,,,,ref_iqclk5,5'b00101
,,,,ref_iqclk6,5'b00110
,,,,ref_iqclk7,5'b00111
,,,,ref_iqclk8,5'b01000
,,,,ref_iqclk9,5'b01001
,[7:5],pll_clkin_0_src,"",pll_clkin_0_src_adj_pll_clk,3'b100,cmu_fpll_refclk_select
,,,,pll_clkin_0_src_core_ref_clk,3'b001
,,,,pll_clkin_0_src_lvpecl,3'b101
,,,,pll_clkin_0_src_ref_clk,3'b011
,,,,pll_clkin_0_src_tx_rx_core_ref_clk,3'b010
,,,,pll_clkin_0_src_vss,3'b000
115,[1:0],pll_c_counter_0_ph_mux_prst,"",pll_c_counter_0_ph_mux_prst[1:0],DIRECT MAPPED,cmu_fpll
,[3:2],pll_c_counter_1_ph_mux_prst,"",pll_c_counter_1_ph_mux_prst[1:0],DIRECT MAPPED,cmu_fpll
,[5:4],pll_c_counter_2_ph_mux_prst,"",pll_c_counter_2_ph_mux_prst[1:0],DIRECT MAPPED,cmu_fpll
,[7:6],pll_c_counter_3_ph_mux_prst,"",pll_c_counter_3_ph_mux_prst[1:0],DIRECT MAPPED,cmu_fpll
117,[4:0],xpm_iqref_mux0_scratch0_src,"",scratch0_iqtxrxclk0,5'b01100,cmu_fpll_refclk_select
,,,,scratch0_iqtxrxclk1,5'b01101
,,,,scratch0_iqtxrxclk2,5'b01110
,,,,scratch0_iqtxrxclk3,5'b01111
,,,,scratch0_iqtxrxclk4,5'b10000
,,,,scratch0_iqtxrxclk5,5'b10001
,,,,scratch0_power_down,5'b11111
,,,,scratch0_ref_iqclk0,5'b00000
,,,,scratch0_ref_iqclk1,5'b00001
,,,,scratch0_ref_iqclk10,5'b01010
,,,,scratch0_ref_iqclk11,5'b01011
,,,,scratch0_ref_iqclk2,5'b00010
,,,,scratch0_ref_iqclk3,5'b00011
,,,,scratch0_ref_iqclk4,5'b00100
,,,,scratch0_ref_iqclk5,5'b00101
,,,,scratch0_ref_iqclk6,5'b00110
,,,,scratch0_ref_iqclk7,5'b00111
