DPRIO Offset(hex) ,DPRIO Bit Offset ,Attribute Name ,Other DPRIO Offset (hex) ,Attribute Encoding ,DPRIO Encoding ,Block
,,,,rterm_p12,2'b00
,,,,rterm_p13,2'b01
,,,,rterm_p14,2'b10
,,,,rterm_p15,2'b11
,,,,rterm_p2,2'b10
,,,,rterm_p3,2'b11
,,,,rterm_p4,2'b00
,,,,rterm_p5,2'b01
,,,,rterm_p6,2'b10
,,,,rterm_p7,2'b11
,,,,rterm_p8,2'b00
,,,,rterm_p9,2'b01
107,[4:0],pre_emp_switching_ctrl_pre_tap_1t,"",pre_emp_switching_ctrl_pre_tap_1t[4:0],DIRECT MAPPED,hssi_pma_tx_buf
,5,pre_emp_sign_pre_tap_1t,"",fir_pre_1t_neg,1'b1,hssi_pma_tx_buf
,,,,fir_pre_1t_pos,1'b0
,[7:6],term_p_tune,"106",rterm_p0,2'b00,hssi_pma_tx_buf
,,,,rterm_p1,2'b00
,,,,rterm_p10,2'b10
,,,,rterm_p11,2'b10
,,,,rterm_p12,2'b11
,,,,rterm_p13,2'b11
,,,,rterm_p14,2'b11
,,,,rterm_p15,2'b11
,,,,rterm_p2,2'b00
,,,,rterm_p3,2'b00
,,,,rterm_p4,2'b01
,,,,rterm_p5,2'b01
,,,,rterm_p6,2'b01
,,,,rterm_p7,2'b01
,,,,rterm_p8,2'b10
,,,,rterm_p9,2'b10
108,[2:0],pre_emp_switching_ctrl_pre_tap_2t,"",pre_emp_switching_ctrl_pre_tap_2t[2:0],DIRECT MAPPED,hssi_pma_tx_buf
,3,low_power_en,"",disable,1'b0,hssi_pma_tx_buf
,,,,enable,1'b1
,4,pre_emp_sign_pre_tap_2t,"",fir_pre_2t_neg,1'b1,hssi_pma_tx_buf
,,,,fir_pre_2t_pos,1'b0
,[7:5],term_sel,"",r_r1,3'b001,hssi_pma_tx_buf
,,,,r_r1_calp,3'b010
,,,,r_r1_capn,3'b100
,,,,r_r2,3'b000
,,,,r_r2_caln,3'b101
,,,,r_r2_calp,3'b011
109,[4:0],vod_output_swing_ctrl,"",vod_output_swing_ctrl[4:0],DIRECT MAPPED,hssi_pma_tx_buf
,5,compensation_en,"",disable,1'b0,hssi_pma_tx_buf
,,,,enable,1'b1
,6,tx_powerdown,"",normal_tx_on,1'b1,hssi_pma_tx_buf
,,,,power_down_tx,1'b0
,7,duty_cycle_correction_reset_n,"",reset,1'b0,hssi_pma_tx_buf
,,,,reset_n,1'b1
10A,[5:0],duty_cycle_setting,"",dcc_t0,6'b000000,hssi_pma_tx_buf
,,,,dcc_t1,6'b000001
,,,,dcc_t10,6'b001010
,,,,dcc_t11,6'b001011
,,,,dcc_t12,6'b001100
,,,,dcc_t13,6'b001101
,,,,dcc_t14,6'b001110
,,,,dcc_t15,6'b001111
,,,,dcc_t16,6'b010000
,,,,dcc_t17,6'b010001
,,,,dcc_t18,6'b010010
,,,,dcc_t19,6'b010011
,,,,dcc_t2,6'b000010
,,,,dcc_t20,6'b010100
,,,,dcc_t21,6'b010101
,,,,dcc_t22,6'b010110
,,,,dcc_t23,6'b010111
,,,,dcc_t24,6'b011000
,,,,dcc_t25,6'b011001
,,,,dcc_t26,6'b011010
,,,,dcc_t27,6'b011011
,,,,dcc_t28,6'b011100
,,,,dcc_t29,6'b011101
,,,,dcc_t3,6'b000011
,,,,dcc_t30,6'b011110
,,,,dcc_t31,6'b011111
,,,,dcc_t32,6'b100000
,,,,dcc_t33,6'b100001
,,,,dcc_t34,6'b100010
,,,,dcc_t35,6'b100011
,,,,dcc_t36,6'b100100
,,,,dcc_t37,6'b100101
,,,,dcc_t38,6'b100110
,,,,dcc_t39,6'b100111
,,,,dcc_t4,6'b000100
,,,,dcc_t40,6'b101000
,,,,dcc_t41,6'b101001
,,,,dcc_t42,6'b101010
,,,,dcc_t43,6'b101011
,,,,dcc_t44,6'b101100
,,,,dcc_t45,6'b101101
,,,,dcc_t46,6'b101110
,,,,dcc_t47,6'b101111
,,,,dcc_t48,6'b110000
,,,,dcc_t49,6'b110001
,,,,dcc_t5,6'b000101
,,,,dcc_t50,6'b110010
,,,,dcc_t51,6'b110011
,,,,dcc_t52,6'b110100
,,,,dcc_t53,6'b110101
,,,,dcc_t54,6'b110110
,,,,dcc_t55,6'b110111
,,,,dcc_t56,6'b111000
,,,,dcc_t57,6'b111001
,,,,dcc_t58,6'b111010
,,,,dcc_t59,6'b111011
,,,,dcc_t6,6'b000110
,,,,dcc_t60,6'b111100
,,,,dcc_t61,6'b111101
,,,,dcc_t62,6'b111110
,,,,dcc_t63,6'b111111
,,,,dcc_t7,6'b000111
,,,,dcc_t8,6'b001000
,,,,dcc_t9,6'b001001
,[7:6],duty_cycle_correction_mode_ctrl,"",dcc_0000011111,2'b01,hssi_pma_tx_ser
,,,,dcc_1111100000,2'b10
,,,,dcc_continuous,2'b11
,,,,dcc_disable,2'b00
,[7:6],duty_cycle_detector_cp_cal,"",dcd_cp_cal_disable,2'b00,hssi_pma_tx_buf
,,,,dcd_cp_cal_in,2'b11
,,,,dcd_cp_cal_ip,2'b10
,,,,dcd_cp_cal_tri,2'b01
10B,[5:0],duty_cycle_setting_aux,"",dcc2_t0,6'b000000,hssi_pma_tx_buf
,,,,dcc2_t1,6'b000001
,,,,dcc2_t10,6'b001010
,,,,dcc2_t11,6'b001011
,,,,dcc2_t12,6'b001100
,,,,dcc2_t13,6'b001101
,,,,dcc2_t14,6'b001110
,,,,dcc2_t15,6'b001111
,,,,dcc2_t16,6'b010000
,,,,dcc2_t17,6'b010001
,,,,dcc2_t18,6'b010010
,,,,dcc2_t19,6'b010011
,,,,dcc2_t2,6'b000010
,,,,dcc2_t20,6'b010100
,,,,dcc2_t21,6'b010101
,,,,dcc2_t22,6'b010110
,,,,dcc2_t23,6'b010111
,,,,dcc2_t24,6'b011000
,,,,dcc2_t25,6'b011001
,,,,dcc2_t26,6'b011010
,,,,dcc2_t27,6'b011011
,,,,dcc2_t28,6'b011100
,,,,dcc2_t29,6'b011101
,,,,dcc2_t3,6'b000011
,,,,dcc2_t30,6'b011110
,,,,dcc2_t31,6'b011111
,,,,dcc2_t32,6'b100000
,,,,dcc2_t33,6'b100001
,,,,dcc2_t34,6'b100010
,,,,dcc2_t35,6'b100011
,,,,dcc2_t36,6'b100100
,,,,dcc2_t37,6'b100101
,,,,dcc2_t38,6'b100110
,,,,dcc2_t39,6'b100111
,,,,dcc2_t4,6'b000100
,,,,dcc2_t40,6'b101000
,,,,dcc2_t41,6'b101001
,,,,dcc2_t42,6'b101010
,,,,dcc2_t43,6'b101011
,,,,dcc2_t44,6'b101100
,,,,dcc2_t45,6'b101101
,,,,dcc2_t46,6'b101110
,,,,dcc2_t47,6'b101111
,,,,dcc2_t48,6'b110000
,,,,dcc2_t49,6'b110001
,,,,dcc2_t5,6'b000101
,,,,dcc2_t50,6'b110010
,,,,dcc2_t51,6'b110011
,,,,dcc2_t52,6'b110100
,,,,dcc2_t53,6'b110101
,,,,dcc2_t54,6'b110110
,,,,dcc2_t55,6'b110111
,,,,dcc2_t56,6'b111000
,,,,dcc2_t57,6'b111001
,,,,dcc2_t58,6'b111010
,,,,dcc2_t59,6'b111011
,,,,dcc2_t6,6'b000110
,,,,dcc2_t60,6'b111100
,,,,dcc2_t61,6'b111101
,,,,dcc2_t62,6'b111110
,,,,dcc2_t63,6'b111111
,,,,dcc2_t7,6'b000111
,,,,dcc2_t8,6'b001000
,,,,dcc2_t9,6'b001001
,[7:6],ser_clk_mon,"",disable_clk_mon,2'b00,hssi_pma_tx_ser
,,,,enable_clk_mon_0101,2'b10
,,,,enable_clk_mon_1010,2'b01
10C,[2:0],slew_rate_ctrl,"",slew_r0,3'b000,hssi_pma_tx_buf
,,,,slew_r1,3'b001
,,,,slew_r2,3'b010
,,,,slew_r3,3'b011
,,,,slew_r4,3'b100
,,,,slew_r5,3'b101
,,,,slew_r6,3'b110
,,,,slew_r7,3'b111
,3,xrx_path_jtag_lp,"",lp_off,1'b0,hssi_pma_rx_buf
,,,,lp_on,1'b1
,3,jtag_lp,"",lp_off,1'b0,hssi_pma_tx_buf
,,,,lp_on,1'b1
,[5:4],jtag_drv_sel,"",drv1,2'b00,hssi_pma_tx_buf
,,,,drv2,2'b01
,,,,drv3,2'b10
,,,,drv4,2'b11
,6,duty_cycle_detector_sa_cal,"",dcd_sa_cal_disable,1'b0,hssi_pma_tx_buf
,,,,dcd_sa_cal_enable,1'b1
,7,duty_cycle_cp_comp_en,"",cp_comp_off,1'b0,hssi_pma_tx_buf
,,,,cp_comp_on,1'b1
10D,0,res_cal_local,"",local,1'b1,hssi_pma_tx_buf
