#TABLE,ALLOWED_VALUES,HDL_PARAMETER,,,,,
SAFE_MODE_TABLE,"""Retry same page""",0,1,0,,,
SAFE_MODE_TABLE,"""Retry from fixed address""",0,0,1,,,
SAFE_MODE_TABLE,0,0,0,0,,,
,,,,,,,
#TABLE,ALLOWED_VALUES,,,,,,
PARALLEL_FLASH_LOADER_CONF_SCHEME_TABLE,"""PS (passive serial)""",,,,,,
PARALLEL_FLASH_LOADER_CONF_SCHEME_TABLE,"""FPP (fast passive parallel)""",,,,,,
PARALLEL_FLASH_LOADER_CONF_SCHEME_TABLE,"""FPP x16 (fast passive parallel x16)""",,,,,,
PARALLEL_FLASH_LOADER_CONF_SCHEME_TABLE,"""FPP x32 (fast passive parallel x32)""",,,,,,
,,,,,,,
#TABLE,ALLOWED_VALUES,HDL_PARAMETER,,,,,
FLASH_DATA_WIDTH_TABLE,"""32 bits""",32,,,,,
FLASH_DATA_WIDTH_TABLE,"""16 bits""",16,,,,,
FLASH_DATA_WIDTH_TABLE,"""8 bits""",8,,,,,
,,,,,,,
#TABLE,ALLOWED_VALUES,,,,,,
DCLK_DIVISOR_TABLE,1,,,,,,
DCLK_DIVISOR_TABLE,2,,,,,,
DCLK_DIVISOR_TABLE,4,,,,,,
DCLK_DIVISOR_TABLE,8,,,,,,
,,,,,,,
#TABLE,str,normal_mode,burst_mode,page_mode,mt28ew_page_mode,burst_mode_numonyx,latency_count
READ_MODES_TABLE,"""Normal Mode""",1,0,0,0,0,3
READ_MODES_TABLE,"""Intel Burst Mode with 3 LC (P30 or P33 only)""",0,1,0,0,0,3
READ_MODES_TABLE,"""Intel Burst Mode with 4 LC (P30 or P33 only)""",0,1,0,0,0,4
READ_MODES_TABLE,"""Intel Burst Mode with 5 LC (P30 or P33 only)""",0,1,0,0,0,5
READ_MODES_TABLE,"""16 Bytes Page Mode (GL only)""",0,0,1,0,0,3
READ_MODES_TABLE,"""32 Bytes Page Mode (MT28EW)""",0,0,0,1,0,3
READ_MODES_TABLE,"""Micron Burst Mode (M58BW)""",0,0,0,0,1,3
READ_MODES_TABLE,0,0,0,0,0,0,0
,,,,,,,
#TABLE,ALLOWED_VALUES,,,,,,
NUM_FLASH_TABLE,1,,,,,,
NUM_FLASH_TABLE,2,,,,,,
NUM_FLASH_TABLE,3,,,,,,
NUM_FLASH_TABLE,4,,,,,,
NUM_FLASH_TABLE,5,,,,,,
NUM_FLASH_TABLE,6,,,,,,
NUM_FLASH_TABLE,7,,,,,,
NUM_FLASH_TABLE,8,,,,,,
NUM_FLASH_TABLE,9,,,,,,
NUM_FLASH_TABLE,10,,,,,,
NUM_FLASH_TABLE,11,,,,,,
NUM_FLASH_TABLE,12,,,,,,
NUM_FLASH_TABLE,13,,,,,,
NUM_FLASH_TABLE,14,,,,,,
NUM_FLASH_TABLE,15,,,,,,
NUM_FLASH_TABLE,16,,,,,,
,,,,,,,
#TABLE,ALLOWED_VALUES,,,,,,
NUM_QFLASH_TABLE,1,,,,,,
NUM_QFLASH_TABLE,2,,,,,,
NUM_QFLASH_TABLE,4,,,,,,
NUM_QFLASH_TABLE,8,,,,,,
,,,,,,,
#TABLE,ALLOWED_VALUES,,,,,,
ENHANCED_FLASH_PROGRAMMING_TABLE,"""Area""",,,,,,
ENHANCED_FLASH_PROGRAMMING_TABLE,"""Speed""",,,,,,
,,,,,,,
#TABLE,ALLOWED_VALUES,,,,,,
FIFO_SIZE_TABLE,16,,,,,,
FIFO_SIZE_TABLE,32,,,,,,
,,,,,,,
#TABLE,ALLOWED_VALUES,,,,,,
PARALLEL_FLASH_LOADER_DECOMPRESSION_TABLE,"""None""",,,,,,
PARALLEL_FLASH_LOADER_DECOMPRESSION_TABLE,"""Area""",,,,,,
PARALLEL_FLASH_LOADER_DECOMPRESSION_TABLE,"""Speed""",,,,,,
