26,PAD_1850,0 EMAC1:RX_CLK 2 Trace:D8 3 NAND:WE_N 4 I2C0:SDA 5 UART0:TX 7 SPIM1:MISO 8 GPIO1:IO2 9 LOANIO:26,
27,PAD_1851,0 EMAC1:RX_CTL 2 Trace:D7 3 NAND:RE_N 4 I2C0:SCL 5 UART0:RX 7 SPIM1:SS0_N 8 GPIO1:IO3 9 LOANIO:27,
28,PAD_1852,0 EMAC1:TXD0 2 Trace:D6 3 NAND:WP_N 5 UART1:CTS_N 6 SPIS1:CLK 7 SPIM1:SS1_N 8 GPIO1:IO4 9 LOANIO:28,
29,PAD_1853,0 EMAC1:TXD1 2 Trace:D5 3 NAND:ADQ2 5 UART1:RTS_N 6 SPIS1:MOSI 8 GPIO1:IO5 9 LOANIO:29,
30,PAD_1854,0 EMAC1:RXD0 2 Trace:D4 3 NAND:ADQ3 4 I2C1:SDA 5 UART1:TX 6 SPIS1:SS0_N 8 GPIO1:IO6 9 LOANIO:30,
31,PAD_1855,0 EMAC1:RXD1 2 Trace:D15 3 NAND:CLE 4 I2C1:SCL 5 UART1:RX 6 SPIS1:MISO 8 GPIO1:IO7 9 LOANIO:31,
32,PAD_1856,0 EMAC1:TXD2 2 Trace:D14 3 NAND:ADQ4 4 I2C_EMAC2:SDA 5 MDIO2:MDIO 6 SPIS0:CLK 7 JTAG:TCK 8 GPIO1:IO8 9 LOANIO:32,
33,PAD_1857,0 EMAC1:TXD3 2 Trace:D13 3 NAND:ADQ5 4 I2C_EMAC2:SCL 5 MDIO2:MDC 6 SPIS0:MOSI 7 JTAG:TMS 8 GPIO1:IO9 9 LOANIO:33,
34,PAD_1858,0 EMAC1:RXD2 2 Trace:D12 3 NAND:ADQ6 4 I2C_EMAC0:SDA 5 MDIO0:MDIO 6 SPIS0:SS0_N 7 JTAG:TDO 8 GPIO1:IO10 9 LOANIO:34,
35,PAD_1859,0 EMAC1:RXD3 2 Trace:D11 3 NAND:ADQ7 4 I2C_EMAC0:SCL 5 MDIO0:MDC 6 SPIS0:MISO 7 JTAG:TDI 8 GPIO1:IO11 9 LOANIO:35,
36,PAD_1860,0 EMAC2:TX_CLK 1 SDMMC:DATA0 2 Trace:D10 3 NAND:ALE 4 I2C1:SDA 8 GPIO1:IO12 9 LOANIO:36,
37,PAD_1861,0 EMAC2:TX_CTL 1 SDMMC:CMD 2 Trace:D9 3 NAND:RB 4 I2C1:SCL 8 GPIO1:IO13 9 LOANIO:37,
38,PAD_1862,0 EMAC2:RX_CLK 1 SDMMC:CCLK 2 Trace:D8 3 NAND:CE_N 5 UART1:TX 8 GPIO1:IO14 9 LOANIO:38,
39,PAD_1863,0 EMAC2:RX_CTL 1 SDMMC:DATA1 2 Trace:D7 5 UART1:RX 8 GPIO1:IO15 9 LOANIO:39,
40,PAD_1864,0 EMAC2:TXD0 1 SDMMC:DATA2 2 Trace:D6 3 NAND:ADQ8 5 UART1:CTS_N 8 GPIO1:IO16 9 LOANIO:40,
41,PAD_1865,0 EMAC2:TXD1 1 SDMMC:DATA3 2 Trace:D5 3 NAND:ADQ9 5 UART1:RTS_N 7 SPIM0:SS1_N 8 GPIO1:IO17 9 LOANIO:41,
42,PAD_1866,0 EMAC2:RXD0 1 SDMMC:DATA4 2 Trace:D4 3 NAND:ADQ10 4 I2C_EMAC1:SDA 5 MDIO1:MDIO 7 SPIM0:MISO 8 GPIO1:IO18 9 LOANIO:42,
43,PAD_1867,0 EMAC2:RXD1 1 SDMMC:DATA5 2 Trace:CLK 3 NAND:ADQ11 4 I2C_EMAC1:SCL 5 MDIO1:MDC 7 SPIM0:SS0_N 8 GPIO1:IO19 9 LOANIO:43,
44,PAD_1868,0 EMAC2:TXD2 1 SDMMC:DATA6 2 Trace:D0 3 NAND:ADQ12 4 I2C_EMAC2:SDA 6 SPIS1:CLK 7 SPIM0:CLK 8 GPIO1:IO20 9 LOANIO:44,
45,PAD_1869,0 EMAC2:TXD3 1 SDMMC:DATA7 2 Trace:D1 3 NAND:ADQ13 4 I2C_EMAC2:SCL 6 SPIS1:MOSI 7 SPIM0:MOSI 8 GPIO1:IO21 9 LOANIO:45,
46,PAD_1870,0 EMAC2:RXD2 2 Trace:D2 3 NAND:ADQ14 4 I2C_EMAC0:SDA 5 MDIO0:MDIO 6 SPIS1:SS0_N 7 SPIM0:MISO 8 GPIO1:IO22 9 LOANIO:46,
47,PAD_1871,0 EMAC2:RXD3 2 Trace:D3 3 NAND:ADQ15 4 I2C_EMAC0:SCL 5 MDIO0:MDC 6 SPIS1:MISO 7 SPIM0:SS0_N 8 GPIO1:IO23 9 LOANIO:47,
