22,PAD_151,PAD_151,PAD_207,PAD_263,0 I2CEMAC1:SDA 1 EMAC1:MDIO 2 SPIS1:CLK 3 SPIM1:CLK 4 SDMMC:D6 8 USB0:DATA4 14 NAND:ADQ4 15 GPIO0:IO8,HPS_DIRECT_SHARED_Q1_9, 
23,PAD_150,PAD_150,PAD_206,PAD_262,0 I2CEMAC1:SCL 1 EMAC1:MDC 2 SPIS1:MOSI 3 SPIM1:MOSI 4 SDMMC:D7 8 USB0:DATA5 14 NAND:ADQ5 15 GPIO0:IO9,HPS_DIRECT_SHARED_Q1_10, 
24,PAD_149,PAD_149,PAD_205,PAD_261,0 I2CEMAC0:SDA 1 EMAC0:MDIO 2 SPIS1:SS0_N 3 SPIM1:MISO 8 USB0:DATA6 14 NAND:ADQ6 15 GPIO0:IO10,HPS_DIRECT_SHARED_Q1_11, 
25,PAD_148,PAD_148,PAD_204,PAD_260,0 I2CEMAC0:SCL 1 EMAC0:MDC 2 SPIS1:MISO 3 SPIM1:SS0_N 8 USB0:DATA7 14 NAND:ADQ7 15 GPIO0:IO11,HPS_DIRECT_SHARED_Q1_12, 
26,PAD_147,PAD_147,PAD_203,PAD_259,4 EMAC0:TX_CLK 8 USB1:CLK 14 NAND:ALE 15 GPIO0:IO12,HPS_DIRECT_SHARED_Q2_1, 
27,PAD_146,PAD_146,PAD_202,PAD_258,4 EMAC0:TX_CTL 8 USB1:STP 14 NAND:RB 15 GPIO0:IO13,HPS_DIRECT_SHARED_Q2_2, 
28,PAD_145,PAD_145,PAD_201,PAD_257,4 EMAC0:RX_CLK 8 USB1:DIR 14 NAND:CE_N 15 GPIO0:IO14,HPS_DIRECT_SHARED_Q2_3, 
29,PAD_144,PAD_144,PAD_200,PAD_256,4 EMAC0:RX_CTL 8 USB1:DATA0 15 GPIO0:IO15,HPS_DIRECT_SHARED_Q2_4, 
30,PAD_143,PAD_143,PAD_199,PAD_255,4 EMAC0:TXD0 8 USB1:DATA1 14 NAND:ADQ8 15 GPIO0:IO16,HPS_DIRECT_SHARED_Q2_5, 
31,PAD_142,PAD_142,PAD_198,PAD_254,4 EMAC0:TXD1 8 USB1:NXT 14 NAND:ADQ9 15 GPIO0:IO17,HPS_DIRECT_SHARED_Q2_6, 
32,PAD_141,PAD_141,PAD_197,PAD_253,4 EMAC0:RXD0 8 USB1:DATA2 14 NAND:ADQ10 15 GPIO0:IO18,HPS_DIRECT_SHARED_Q2_7, 
33,PAD_140,PAD_140,PAD_196,PAD_252,3 SPIM1:SS1_N 4 EMAC0:RXD1 8 USB1:DATA3 14 NAND:ADQ11 15 GPIO0:IO19,HPS_DIRECT_SHARED_Q2_8, 
34,PAD_139,PAD_139,PAD_195,PAD_251,0 I2C1:SDA 2 SPIS0:CLK 3 SPIM1:CLK 4 EMAC0:TXD2 8 USB1:DATA4 13 UART0:CTS_N 14 NAND:ADQ12 15 GPIO0:IO20,HPS_DIRECT_SHARED_Q2_9, 
35,PAD_138,PAD_138,PAD_194,PAD_250,0 I2C1:SCL 2 SPIS0:MOSI 3 SPIM1:MOSI 4 EMAC0:TXD3 8 USB1:DATA5 13 UART0:RTS_N 14 NAND:ADQ13 15 GPIO0:IO21,HPS_DIRECT_SHARED_Q2_10, 
36,PAD_137,PAD_137,PAD_193,PAD_249,0 I2C0:SDA 2 SPIS0:SS0_N 3 SPIM1:MISO 4 EMAC0:RXD2 8 USB1:DATA6 13 UART0:TX 14 NAND:ADQ14 15 GPIO0:IO22,HPS_DIRECT_SHARED_Q2_11, 
37,PAD_136,PAD_136,PAD_192,PAD_248,0 I2C0:SCL 2 SPIS0:MISO 3 SPIM1:SS0_N 4 EMAC0:RXD3 8 USB1:DATA7 13 UART0:RX 14 NAND:ADQ15 15 GPIO0:IO23,HPS_DIRECT_SHARED_Q2_12, 
38,PAD_135,PAD_135,PAD_191,PAD_247,3 SPIM1:CLK 8 EMAC1:TX_CLK 13 UART0:CTS_N 14 NAND:ADQ0 15 GPIO1:IO0,HPS_DIRECT_SHARED_Q3_1, 
39,PAD_134,PAD_134,PAD_190,PAD_246,3 SPIM1:MOSI 8 EMAC1:TX_CTL 13 UART0:RTS_N 14 NAND:ADQ1 15 GPIO1:IO1,HPS_DIRECT_SHARED_Q3_2, 
40,PAD_133,PAD_133,PAD_189,PAD_245,0 I2C0:SDA 3 SPIM1:MISO 8 EMAC1:RX_CLK 13 UART0:TX 14 NAND:WE_N 15 GPIO1:IO2,HPS_DIRECT_SHARED_Q3_3, 
41,PAD_132,PAD_132,PAD_188,PAD_244,0 I2C0:SCL 3 SPIM1:SS0_N 8 EMAC1:RX_CTL 13 UART0:RX 14 NAND:RE_N 15 GPIO1:IO3,HPS_DIRECT_SHARED_Q3_4, 
42,PAD_131,PAD_131,PAD_187,PAD_243,2 SPIS1:CLK 3 SPIM1:SS1_N 8 EMAC1:TXD0 13 UART1:CTS_N 14 NAND:WP_N 15 GPIO1:IO4,HPS_DIRECT_SHARED_Q3_5, 
